onset	duration	trial_type	environment	community	cue	opt1	opt2	within_opt	response	response_time
0.000	3.239	central	forest	3	16	19	12	2	1	3.239
3.739	2.728	central	ocean	1	21	5	1	2	2	2.728
6.967	3.001	boundary1	desert	2	4	3	7	2	1	3.001
10.468	3.559	boundary1	ocean	1	3	21	4	1	2	3.559
14.527	4.024	central	forest	3	15	13	7	1	2	4.024
19.051	3.019	central	desert	2	9	6	15	1	2	3.019
22.569	3.306	central	ocean	1	2	16	20	2	2	3.306
26.375	3.233	central	desert	2	5	12	7	2	1	3.233
30.109	3.319	central	forest	3	14	15	2	1	2	3.319
33.928	3.160	central	desert	2	9	5	19	1	2	3.160
37.588	2.945	boundary1	ocean	1	18	17	20	2	1	2.945
41.032	3.835	boundary1	forest	3	11	10	13	2	1	3.835
45.367	3.485	central	ocean	1	19	21	14	1	2	3.485
49.353	3.952	central	desert	2	6	16	8	2	2	3.952
53.805	3.032	central	forest	3	12	15	9	1	1	3.032
57.337	3.752	central	ocean	1	21	15	2	2	2	3.752
61.589	4.223	boundary2	desert	2	10	12	4	2	1	4.223
66.311	3.625	central	forest	3	13	8	16	2	1	3.625
70.436	3.709	boundary2	ocean	1	3	18	7	1	2	3.709
74.645	3.237	boundary2	desert	2	4	10	19	1	2	3.237
78.382	3.096	central	desert	2	7	2	8	2	1	3.096
81.978	4.070	central	ocean	1	20	13	1	2	2	4.070
86.548	3.732	central	desert	2	8	9	1	1	1	3.732
90.780	3.383	boundary2	ocean	1	18	14	3	2	2	3.383
94.663	2.617	boundary2	forest	3	11	5	17	2	2	2.617
97.780	2.669	boundary1	desert	2	10	9	11	1	1	2.669
100.948	3.401	central	forest	3	16	6	14	2	1	3.401
104.850	3.066	central	ocean	1	19	20	9	1	1	3.066
108.415	4.398	central	forest	3	14	12	5	1	1	4.398
113.313	2.993	boundary1	forest	3	17	12	18	1	2	2.993
116.806	4.248	central	ocean	1	1	2	8	1	1	4.248
121.554	2.970	central	ocean	1	2	6	19	2	2	2.970
125.024	3.304	central	desert	2	8	13	5	2	1	3.304
128.828	3.660	boundary2	forest	3	17	11	20	1	2	3.660
132.987	2.125	central	ocean	1	1	19	12	1	1	2.125
135.612	2.828	central	desert	2	5	21	6	2	1	2.828
138.940	3.792	central	forest	3	15	16	1	1	2	3.792
143.232	2.953	central	forest	3	12	13	21	1	1	2.953
146.685	3.168	central	desert	2	7	14	9	2	1	3.168
150.353	2.353	central	ocean	1	20	7	21	2	2	2.353
153.206	4.219	central	forest	3	13	14	20	1	2	4.219
157.924	3.271	central	desert	2	6	7	20	1	2	3.271
